sensor_index,sensor_id,timestamp_since_poweron,real_time_clock,temperature,pressure,relative_humidity,resistance_gassensor,heater_profile_step_index,scanning_mode_enabled,label_tag,error_code
3,1903384649,45840,1642222214,38.247978,991.879089,30.082691,754188.9375,7,1,0,0
1,1903376405,46513,1642222215,37.779247,992.144531,31.62364,783623.5,8,1,0,0
2,1903386950,46517,1642222215,38.231697,991.663757,30.258944,469724.7813,8,1,0,0
4,1903401543,46521,1642222215,39.237846,991.519104,29.389656,1000000,8,1,0,0
5,1903406917,46525,1642222215,38.978165,991.703125,29.6744,954556.0625,8,1,0,0
6,1903394118,46529,1642222215,40.287979,991.605469,28.271345,489952.1563,8,1,0,0
7,1903382597,46533,1642222215,39.903042,991.666199,28.536959,465243.0625,8,1,0,0
0,1903370310,46537,1642222215,37.604534,991.900391,31.32251,580828.125,8,1,0,0
3,1903384649,46540,1642222215,38.523216,991.883118,30.006044,861771.5,8,1,0,0
1,1903376405,47226,1642222216,37.920204,992.160767,31.508072,844710.25,9,0,0,0
2,1903386950,47243,1642222216,38.380924,991.699219,30.130091,504806.5,9,0,0,0
4,1903401543,47259,1642222216,39.393364,991.511047,29.229595,1099892.625,9,0,0,0
